version,strategy,games,survival_rate,average_turns,average_final_people,average_final_food,average_hunts,average_successful_hunts,average_hunt_failures,average_hunt_deaths
A-original,random,1000,0.141,10.922,1.155,4.016,4.266,2.725,1.541,1.541
A-original,food,1000,0.998,19.987,1.059,54.809,13.447,9.508,3.939,3.939
A-original,hunt,1000,0.25,16.156,0.385,63.701,16.13,11.517,4.613,4.613
A-original,kinship,1000,0.0,4.373,4.294,0.0,0.0,0.0,0.0,0.0
A-original,technology,1000,0.978,19.881,3.882,15.294,0.0,0.0,0.0,0.0
A-original,worship,1000,0.037,11.455,0.048,12.726,0.0,0.0,0.0,0.0
A-original,balanced,1000,0.904,19.546,5.003,1.997,1.138,0.633,0.505,0.505
B-threat-always,random,1000,0.048,9.338,0.903,2.112,3.643,0.793,2.85,1.298
B-threat-always,food,1000,0.996,19.978,1.057,44.713,13.436,7.005,6.431,3.935
B-threat-always,hunt,1000,0.25,16.153,0.385,48.71,16.12,7.524,8.596,4.611
B-threat-always,kinship,1000,0.0,4.373,4.294,0.0,0.0,0.0,0.0,0.0
B-threat-always,technology,1000,0.978,19.881,3.882,15.294,0.0,0.0,0.0,0.0
B-threat-always,worship,1000,0.037,11.455,0.048,12.726,0.0,0.0,0.0,0.0
B-threat-always,balanced,1000,0.901,19.544,4.764,1.894,1.064,0.17,0.894,0.467
