game_number,strategy,seed,turns_survived,survived_target,final_people,max_people,final_food,max_food,total_hunts,successful_hunts,hunt_failures,hunt_deaths,total_food_rolls,total_food_gained,kinship_started,kinship_completed,tech_sets_completed,tech_upgrades_completed,prayer_earned,prayer_spent,sacrifices,events_ignored
1,random,100001,10,False,1,5,0,7,3,2,1,1,7,14,3,2,0,1,3,2,1,1
2,random,100002,2,False,3,5,0,7,1,0,1,1,0,0,2,0,0,0,0,0,0,0
3,random,100003,8,False,0,5,10,10,1,0,1,1,4,9,3,2,0,1,2,0,3,0
4,random,100004,7,False,0,5,0,7,3,2,1,1,3,6,2,2,0,1,2,2,2,1
5,random,100005,5,False,3,5,0,7,2,1,1,1,2,3,3,1,1,1,2,2,0,1
6,random,100006,6,False,1,5,0,7,2,1,1,1,2,2,2,1,1,1,1,0,0,0
7,random,100007,6,False,0,5,0,7,2,1,1,1,5,7,1,1,1,2,3,0,1,0
8,random,100008,23,False,1,5,0,24,9,6,3,3,8,5,8,6,1,2,3,2,5,1
9,random,100009,20,False,0,5,0,13,8,5,3,3,14,23,4,4,1,2,3,2,2,1
10,random,100010,22,False,0,6,0,16,7,4,3,3,9,10,6,4,2,3,0,0,5,0
11,random,100011,31,False,0,9,29,29,19,13,6,6,18,38,13,10,1,3,19,18,10,9
12,random,100012,10,False,1,5,0,15,3,3,0,0,4,7,4,2,1,2,4,4,3,2
13,random,100013,14,False,3,5,0,12,7,5,2,2,9,18,5,3,1,2,6,6,2,3
14,random,100014,10,False,0,5,23,23,2,1,1,1,4,7,1,1,0,1,2,0,4,0
15,random,100015,20,False,1,7,0,12,10,8,2,2,12,23,8,7,2,3,7,6,1,3
16,random,100016,13,False,0,5,11,11,2,2,0,0,5,6,3,3,2,2,4,2,2,1
17,random,100017,16,False,0,6,0,7,6,5,1,1,13,21,4,4,2,4,1,0,3,0
18,random,100018,2,False,3,5,0,7,1,0,1,1,0,0,2,0,0,0,0,0,0,0
19,random,100019,5,False,1,5,0,7,1,0,1,1,0,0,2,1,0,0,0,0,1,0
20,random,100020,7,False,1,5,0,7,3,1,2,2,3,5,2,1,0,0,4,2,0,1
21,random,100021,21,False,0,5,28,29,12,8,4,4,12,22,4,3,1,2,8,6,5,3
22,random,100022,5,False,1,5,0,7,3,1,2,2,3,6,3,2,0,1,1,0,1,0
23,random,100023,6,False,1,5,0,7,2,0,2,2,4,7,2,1,1,1,0,0,0,0
24,random,100024,14,False,0,5,0,7,3,2,1,1,6,10,2,0,0,0,5,2,2,1
25,random,100025,11,False,1,6,0,7,2,1,1,1,6,13,6,5,0,0,3,2,0,1
26,random,100026,6,False,3,5,0,16,0,0,0,0,2,3,4,2,0,0,1,0,1,0
27,random,100027,15,False,0,5,16,22,8,4,4,4,4,8,3,2,1,1,7,6,3,3
28,random,100028,6,False,1,5,0,7,1,1,0,0,3,5,3,0,0,0,3,2,2,1
29,random,100029,3,False,1,5,0,7,1,0,1,1,1,1,1,0,0,1,2,2,1,1
30,random,100030,8,False,0,5,0,7,1,0,1,1,5,11,3,3,0,1,2,0,1,0
31,random,100031,7,False,1,5,0,7,3,1,2,2,3,4,2,1,0,1,2,0,1,0
32,random,100032,8,False,1,5,0,7,3,2,1,1,5,8,3,2,0,0,5,4,1,2
33,random,100033,5,False,3,5,0,7,1,0,1,1,2,2,4,2,0,0,1,0,0,0
34,random,100034,30,False,0,5,5,14,5,3,2,2,13,19,2,2,2,2,6,4,2,2
35,random,100035,18,False,0,6,15,16,7,6,1,1,11,16,5,5,1,2,5,4,2,2
36,random,100036,3,False,3,5,0,7,1,0,1,1,4,7,3,0,0,0,0,0,1,0
37,random,100037,14,False,0,5,19,22,4,1,3,3,8,15,0,0,1,1,2,2,2,1
38,random,100038,5,False,3,5,0,7,2,2,0,0,1,3,4,1,0,1,0,0,2,0
39,random,100039,13,False,0,5,0,7,5,3,2,2,8,12,1,0,0,0,4,2,2,1
40,random,100040,50,True,1,5,30,30,13,11,2,2,18,36,4,4,4,6,14,14,6,7
41,random,100041,5,False,0,5,0,7,2,1,1,1,2,3,2,1,0,0,0,0,2,0
42,random,100042,37,False,0,5,32,33,6,4,2,2,15,30,2,2,3,3,10,10,5,5
43,random,100043,13,False,0,5,11,11,3,1,2,2,4,5,1,1,0,0,3,2,1,1
44,random,100044,7,False,1,5,0,7,1,0,1,1,9,14,2,1,0,1,1,0,1,0
45,random,100045,11,False,1,5,0,7,3,3,0,0,3,6,4,3,1,3,4,2,2,1
46,random,100046,15,False,0,5,38,38,6,4,2,2,3,8,3,3,1,1,6,6,5,3
47,random,100047,24,False,0,5,4,18,9,6,3,3,9,15,5,4,1,4,9,8,7,4
48,random,100048,36,False,0,7,20,20,14,13,1,1,16,20,14,14,0,1,14,14,5,7
49,random,100049,8,False,0,5,0,9,3,2,1,1,1,2,2,2,0,2,2,0,2,0
50,random,100050,17,False,0,5,0,7,6,5,1,1,12,25,6,6,2,5,8,8,3,4
51,random,100051,10,False,0,5,48,48,4,2,2,2,7,13,2,1,0,0,2,2,5,1
52,random,100052,6,False,1,5,0,7,1,0,1,1,4,5,2,1,0,0,4,4,0,2
53,random,100053,4,False,1,5,0,7,3,0,3,3,1,0,2,1,0,0,1,0,0,0
54,random,100054,15,False,0,6,9,10,7,5,2,2,9,21,3,3,2,4,7,4,2,2
55,random,100055,7,False,1,5,0,9,2,1,1,1,3,6,3,1,0,0,2,0,1,0
56,random,100056,13,False,0,5,9,9,6,2,4,4,5,14,2,1,0,0,4,2,1,1
57,random,100057,7,False,0,5,10,18,5,2,3,3,3,4,0,0,0,0,1,0,2,0
58,random,100058,19,False,0,5,22,24,8,6,2,2,5,12,3,3,0,2,7,4,4,2
59,random,100059,5,False,0,5,12,12,2,0,2,2,1,3,1,1,0,1,1,0,2,0
60,random,100060,16,False,0,6,0,14,8,5,3,3,8,16,6,6,1,2,7,6,1,3
61,random,100061,5,False,1,5,0,7,2,0,2,2,2,3,2,1,0,0,2,2,0,1
