turn,event,threat,allocation,available_workers,kinship_started,kinship_completed,hunt_count,hunt_score,hunt_skulls,hunt_success,hunt_death,food_rolls,food_gained,food_loss,food_spoiled,prayer_used,fed,lost_to_food,people_end,food_end,game_over,strategy,game_number,seed
1,First Turn,5,"{'T': 1, 'W': 1, 'F': 1, 'K': 2}",5,1,0,0,0,0,True,False,[1],1,0,0,False,True,False,5,3,False,random,1,100199
2,Mild Winter,5,"{'W': 1, 'K': 2}",3,1,0,0,0,0,True,False,[],0,0,0,False,True,False,4,9,False,random,1,100199
3,Local Thieves,5,{},0,0,0,0,0,0,True,False,[],0,3,0,False,True,False,4,2,False,random,1,100199
4,Local Thieves,5,"{'W': 2, 'H': 1}",3,0,1,1,5,0,True,False,[],0,3,0,False,True,False,5,0,False,random,1,100199
5,Local Thieves,5,"{'W': 2, 'H': 2, 'K': 2}",6,1,1,2,7,0,True,False,[],0,0,0,True,True,False,5,12,False,random,1,100199
6,Local Thieves,5,"{'W': 2, 'F': 1}",3,0,0,0,0,0,True,False,[1],1,3,0,False,True,False,5,5,False,random,1,100199
7,Mild Winter,5,"{'F': 1, 'K': 2}",3,1,0,0,0,0,True,False,[2],2,0,0,True,True,False,5,2,False,random,1,100199
8,Predator Activity,7,"{'T': 1, 'H': 1, 'K': 2}",4,1,1,1,-2,1,False,True,[],0,0,0,False,False,True,4,0,False,random,1,100199
9,Harsh Winter,8,{},0,0,0,0,0,0,True,False,[],0,0,0,True,False,True,3,0,False,random,1,100199
10,Spiritual Awakening,8,{'W': 2},2,0,1,0,0,0,True,False,[],0,0,0,False,False,True,3,0,False,random,1,100199
11,Fertile Season,5,"{'W': 1, 'F': 1, 'K': 2}",4,1,1,0,0,0,True,False,[3],3,0,0,False,False,True,3,0,False,random,1,100199
12,Predator Activity,7,{'W': 1},1,0,0,0,0,0,True,False,[],0,0,0,False,False,True,2,0,False,random,1,100199
13,Obsidian Deposit,6,{},0,0,0,0,0,0,True,False,[],0,0,0,False,False,True,1,0,False,random,1,100199
14,Fertile Season,5,"{'W': 1, 'F': 1}",2,0,1,0,0,0,True,False,[3],3,0,0,False,True,False,2,1,False,random,1,100199
15,Mammoth Herd,14,"{'T': 1, 'F': 1}",2,0,0,0,0,0,True,False,[2],2,0,0,False,True,False,2,1,False,random,1,100199
16,Eclipse,13,"{'F': 1, 'H': 1}",2,0,0,1,0,1,False,True,[2],2,0,0,True,True,False,1,2,False,random,1,100199
17,Eclipse,13,{'T': 1},1,0,0,0,0,0,True,False,[],0,0,0,True,True,False,1,1,False,random,1,100199
18,Eclipse,13,{'T': 1},1,0,0,0,0,0,True,False,[],0,0,0,True,True,False,1,0,False,random,1,100199
19,Epidemic,13,{'H': 1},1,0,0,1,2,0,False,False,[],0,0,0,False,False,True,0,0,True,random,1,100199
1,First Turn,5,"{'W': 1, 'F': 2, 'K': 2}",5,1,0,0,0,0,True,False,"[3, 2]",5,0,0,False,True,False,5,7,False,random,2,100299
2,Local Thieves,5,"{'T': 2, 'W': 1}",3,0,0,0,0,0,True,False,[],0,3,0,False,True,False,4,10,False,random,2,100299
3,Local Thieves,5,"{'T': 1, 'W': 1}",2,0,0,0,0,0,True,False,[],0,3,0,False,True,False,4,3,False,random,2,100299
4,Rocky Terrain,3,"{'W': 1, 'F': 2, 'K': 2}",5,1,1,0,0,0,True,False,"[3, 2]",5,0,0,False,True,False,5,3,False,random,2,100299
5,Animal Migration,6,"{'H': 1, 'K': 2}",3,1,0,1,2,1,False,True,[],0,0,0,False,False,True,3,0,False,random,2,100299
